,Unnamed: 0,ID,permalink,username,text,date,formatted_date,retweets,favorites,mentions,hashtags,geo,urls,author_id,Anger,Disgust,Fear,Joy,Sadness,Surprise,is_english,polarity_of_tweet,has_yoshua,has_gary
31,31,1211445085105250304,https://twitter.com/Montreal_AI/status/1211445085105250304,,"“Deep learning is inspired by neural networks of the brain to build learning machines which discover rich and useful internal representations, computed as a composition of learned features and functions.” — Yoshua Bengio #AIDebate",2019-12-30 00:33:10,Mon Dec 30 00:33:10 +0000 2019,6,10,,#AIDebate,,,919860212,0.2027861773967743,0.1321079283952713,0.10793343186378479,0.43418875336647034,0.09275265038013458,0.0302310548722744,True,0.16875,True,False
32,32,1211417877154336768,https://twitter.com/mlamons1/status/1211417877154336768,,"Insights into the Bengio-Marcus Debate on the future of Artificial Intelligence - Post Mortem, Part I: The Deep Learning Pivot. #AI #ML #debate #futurist #futurism #IntelligenceFactory #digitaltransformation #futureofAI #bengio #marcus #aidebate http:// ow.ly/VpnB30q5q52",2019-12-29 22:45:03,Sun Dec 29 22:45:03 +0000 2019,5,3,,#AI #ML #debate #futurist #futurism #IntelligenceFactory #digitaltransformation #futureofAI #bengio #marcus #aidebate,,http://ow.ly/VpnB30q5q52,240473635,0.041503310203552246,0.0024698576889932156,0.4298829138278961,0.3479241132736206,0.17480149865150452,0.003418312408030033,True,-0.19999999999999998,True,True
33,33,1211407806764638211,https://twitter.com/Ai_Consulting_/status/1211407806764638211,,"Insights into the Bengio-Marcus Debate on the future of Artificial Intelligence - Post Mortem, Part I: The Deep Learning Pivot. #AI #ML #debate #futurist #futurism #IntelligenceFactory #digitaltransformation #futureofAI #bengio #marcus #aidebate http:// ow.ly/ewbX30q5q4C",2019-12-29 22:05:02,Sun Dec 29 22:05:02 +0000 2019,4,3,,#AI #ML #debate #futurist #futurism #IntelligenceFactory #digitaltransformation #futureofAI #bengio #marcus #aidebate,,http://ow.ly/ewbX30q5q4C,1073264661368315904,0.04132043570280075,0.0019285830203443766,0.472573459148407,0.38037654757499695,0.10064934939146042,0.003151628188788891,True,-0.19999999999999998,True,True
34,34,1211406961981308928,https://twitter.com/VidaVakil/status/1211406961981308928,,"Great idea! #AIDebate : let’s train a #GPT -2 with what has been already said, and have it generate a summary. Or have it debate with itself. Since none of the discussions so far have been formal/mathematical, GPT-2 may actually do a good job.",2019-12-29 22:01:41,Sun Dec 29 22:01:41 +0000 2019,2,2,,#AIDebate #GPT,,,373083685,0.044820547103881836,0.0025297359097748995,0.04993895813822746,0.42973899841308594,0.004657999612390995,0.4683137536048889,True,0.5333333333333333,False,False
35,35,1211405537776218123,https://twitter.com/mo_hashir/status/1211405537776218123,,Next up on the #AIDebate : a Capture the Flag (aka Hype) match between OpenAI and DeepMind. Followed by a Yo Mama competition between Brain and MSR.,2019-12-29 21:56:01,Sun Dec 29 21:56:01 +0000 2019,1,2,,#AIDebate,,,764881138875760641,0.009297823533415794,0.0005007765139453113,0.2142965942621231,0.773191511631012,0.0011705985525622964,0.0015427122125402093,True,0.0,False,False
36,36,1211405109068025858,https://twitter.com/AngeloDalli/status/1211405109068025858,,Missing in #AIDebate is EXPLAINABILITY - DL or some hybrid future #AI needs to explain itself. How else would an AI system prove that it actually understands whatever it’s being trained on? @DARPA #XAI objectives could be priors? @GaryMarcus @Montreal_AI @Quebec_AI @ylecun pic.twitter.com/Bh80LGfBKC,2019-12-29 21:54:19,Sun Dec 29 21:54:19 +0000 2019,2,9,@DARPA @GaryMarcus @Montreal_AI @Quebec_AI @ylecun,#AIDebate #AI #XAI,,,22894187,0.05471401661634445,0.002771728439256549,0.4009869396686554,0.17487967014312744,0.09997382014989853,0.26667383313179016,True,-0.06666666666666667,False,True
37,37,1211387536913895425,https://twitter.com/tatbul/status/1211387536913895425,,Much more interesting than the #AIDebate itself :),2019-12-29 20:44:29,Sun Dec 29 20:44:29 +0000 2019,2,4,,#AIDebate,,,59593606,0.003883246798068285,0.0006530875107273459,0.06736019253730774,0.35125210881233215,0.0031599686481058598,0.5736913681030273,True,0.5,False,False
38,38,1211353281135554560,https://twitter.com/BettaCharlie/status/1211353281135554560,,We are but the subconstruct of our environment and influences. #Philosophy #AI #AIDebate https:// twitter.com/FrancoisGuite/ status/1211340521639206912 …,2019-12-29 18:28:22,Sun Dec 29 18:28:22 +0000 2019,0,2,,#Philosophy #AI #AIDebate,,https://twitter.com/FrancoisGuite/status/1211340521639206912,1141771312823721984,0.030062738806009293,0.006284779403358698,0.22408801317214966,0.7232599258422852,0.010392657481133938,0.0059118750505149364,True,0.0,False,False
39,39,1211351599773310977,https://twitter.com/hectorpal/status/1211351599773310977,,". @GaryMarcus , at IJCAI 2018, both @ylecun and Hector Geffner gave keynote talks taking mentioning System I and II. What do you think about Geffner's position? #AIDebate https:// twitter.com/vicen__gomez/s tatus/1205027554500853760 …",2019-12-29 18:21:41,Sun Dec 29 18:21:41 +0000 2019,1,6,@GaryMarcus @ylecun,#AIDebate,,https://twitter.com/vicen__gomez/status/1205027554500853760,6394822,0.03599691018462181,0.0005857668584212661,0.05178270861506462,0.8477988243103027,0.005744398571550846,0.0580914169549942,True,0.0,False,True
40,40,1211328822412500994,https://twitter.com/ceobillionaire/status/1211328822412500994,,The #AIDebate is not over ;),2019-12-29 16:51:11,Sun Dec 29 16:51:11 +0000 2019,2,2,,#AIDebate,,,176540776,0.005198567174375057,0.0031343705486506224,0.1580902487039566,0.07667840272188187,0.29188868403434753,0.4650097191333771,True,0.0,False,False
41,41,1211324710929088512,https://twitter.com/VidaVakil/status/1211324710929088512,,#AIDebate = Lost In Translation,2019-12-29 16:34:51,Sun Dec 29 16:34:51 +0000 2019,0,6,,#AIDebate,,,373083685,0.024080859497189522,0.010642009787261486,0.05746586620807648,0.16510425508022308,0.6067527532577515,0.13595426082611084,True,0.0,False,False
42,42,1211316639783956480,https://twitter.com/MichalRolinek/status/1211316639783956480,,"Ad #AIDebate : For me, even without aiming for human-level or general AI, ML is an exciting field with interesting hard problems and revolutionary potential. Now off to skiing . Happy new year everyone !",2019-12-29 16:02:46,Sun Dec 29 16:02:46 +0000 2019,0,4,,#AIDebate,,,965674672988852225,0.00027449781191535294,3.058075162698515e-05,0.001726305577903986,0.9109984636306763,0.0010872908169403672,0.08588284999132156,True,0.2135281385281385,False,False
43,43,1211315357635399680,https://twitter.com/rhyolight/status/1211315357635399680,,"So my audience and I watched @GaryMarcus 's 2017 debate with @ylecun before this debate, and it's funny how people mentioned that they missed Yann LeCun in this year's #AIDebate . https:// twitter.com/rhyolight/stat us/1211312227292086273 …",2019-12-29 15:57:41,Sun Dec 29 15:57:41 +0000 2019,0,1,@GaryMarcus @ylecun,#AIDebate,,https://twitter.com/rhyolight/status/1211312227292086273,6797182,0.008265010081231594,0.0004922132939100266,0.1296270787715912,0.8415045142173767,0.003756136866286397,0.016355019062757492,True,0.25,False,True
44,44,1211312231352156160,https://twitter.com/rhyolight/status/1211312231352156160,,"Summary why #AIDebate was fruitless: Gary brings one good idea but refuses to apply it to his own work (Reboot AI!). Yoshua brings one big useless idea to try to see DL from the perspective of consciousness, which is very different from intelligence and moves the goal posts. FIN",2019-12-29 15:45:15,Sun Dec 29 15:45:15 +0000 2019,0,5,,#AIDebate,,,6797182,0.009306971915066242,0.000231677113333717,0.04016611725091934,0.38573622703552246,0.05462375283241272,0.5099352598190308,True,0.04999999999999999,True,True
